---config@码表分类=主码-3
---config@允许编辑=否
---config@码表别名=系统英文
a	a#序10000
informed	informed#序10000
informer	informer#序10000
informix	informix#序10000
infrared	infrared#序10000
infringe	infringe#序10000
infusion	infusion#序10000
infusive	infusive#序10000
ingather	ingather#序10000
ingrowth	ingrowth#序10000
inguinal	inguinal#序10000
inhalant	inhalant#序10000
inherent	inherent#序10000
inhesion	inhesion#序10000
inhumane	inhumane#序10000
inimical	inimical#序10000
iniquity	iniquity#序10000
initiate	initiate#序10000
injector	injector#序10000
injurant	injurant#序10000
inkberry	inkberry#序10000
inkiness	inkiness#序10000
inkstand	inkstand#序10000
inkstone	inkstone#序10000
inlander	inlander#序10000
innately	innately#序10000
innatism	innatism#序10000
innative	innative#序10000
innocent	innocent#序10000
innuendo	innuendo#序10000
inoculum	inoculum#序10000
inornate	inornate#序10000
inositol	inositol#序10000
inquirer	inquirer#序10000
inrooted	inrooted#序10000
insanely	insanely#序10000
insanity	insanity#序10000
inscient	inscient#序10000
inscribe	inscribe#序10000
inscript	inscript#序10000
inscroll	inscroll#序10000
insecure	insecure#序10000
inserted	inserted#序10000
inshrine	inshrine#序10000
insignia	insignia#序10000
insolate	insolate#序10000
insolent	insolent#序10000
insomnia	insomnia#序10000
insomuch	insomuch#序10000
insonate	insonate#序10000
insonify	insonify#序10000
insphere	insphere#序10000
inspired	inspired#序10000
inspirer	inspirer#序10000
inspirit	inspirit#序10000
instable	instable#序10000
instance	instance#序10000
instancy	instancy#序10000
instinct	instinct#序10000
instruct	instruct#序10000
insulant	insulant#序10000
insulate	insulate#序10000
insulter	insulter#序10000
insurant	insurant#序10000
insymbol	insymbol#序10000
intaglio	intaglio#序10000
intarsia	intarsia#序10000
integral	integral#序10000
intelsat	intelsat#序10000
intended	intended#序10000
intently	intently#序10000
interact	interact#序10000
intercom	intercom#序10000
intercut	intercut#序10000
interest	interest#序10000
interfix	interfix#序10000
interior	interior#序10000
interlap	interlap#序10000
interlay	interlay#序10000
intermit	intermit#序10000
intermix	intermix#序10000
internal	internal#序10000
internee	internee#序10000
internet	internet#序10000
interpol	interpol#序10000
interrex	interrex#序10000
intersex	intersex#序10000
intertie	intertie#序10000
interval	interval#序10000
interwar	interwar#序10000
inthrone	inthrone#序10000
intilted	intilted#序10000
intimacy	intimacy#序10000
intimate	intimate#序10000
intimism	intimism#序10000
intimist	intimist#序10000
intimity	intimity#序10000
intitule	intitule#序10000
intonate	intonate#序10000
intoneme	intoneme#序10000
intraday	intraday#序10000
intrados	intrados#序10000
intranet	intranet#序10000
intrench	intrench#序10000
intrepid	intrepid#序10000
intrigue	intrigue#序10000
intromit	intromit#序10000
intropin	intropin#序10000
introrse	introrse#序10000
intruder	intruder#序10000
intubate	intubate#序10000
inturned	inturned#序10000
inundant	inundant#序10000
inundate	inundate#序10000
inurbane	inurbane#序10000
invasion	invasion#序10000
invasive	invasive#序10000
invected	invected#序10000
inveigle	inveigle#序10000
inventec	inventec#序10000
inventer	inventer#序10000
inventor	inventor#序10000
inverted	inverted#序10000
inverter	inverter#序10000
invertin	invertin#序10000
investor	investor#序10000
inviable	inviable#序10000
inviting	inviting#序10000
invocate	invocate#序10000
involute	involute#序10000
involved	involved#序10000
inwardly	inwardly#序10000
inwinter	inwinter#序10000
iodinate	iodinate#序10000
iodoform	iodoform#序10000
iodophor	iodophor#序10000
iodopsin	iodopsin#序10000
ionicity	ionicity#序10000
ionogram	ionogram#序10000
irenical	irenical#序10000
irenicon	irenicon#序10000
irisated	irisated#序10000
irishism	irishism#序10000
irishize	irishize#序10000
irishman	irishman#序10000
ironclad	ironclad#序10000
ironical	ironical#序10000
ironside	ironside#序10000
ironware	ironware#序10000
ironweed	ironweed#序10000
ironwood	ironwood#序10000
ironwork	ironwork#序10000
iroquois	iroquois#序10000
irrigate	irrigate#序10000
irritant	irritant#序10000
irritate	irritate#序10000
irrorate	irrorate#序10000
isagogic	isagogic#序10000
isanomal	isanomal#序10000
iscariot	iscariot#序10000
ishikari	ishikari#序10000
islamise	islamise#序10000
islamism	islamism#序10000
islamite	islamite#序10000
islamize	islamize#序10000
islander	islander#序10000
isobaric	isobaric#序10000
isobutyl	isobutyl#序10000
isocheim	isocheim#序10000
isochore	isochore#序10000
isochron	isochron#序10000
isocracy	isocracy#序10000
isogenic	isogenic#序10000
isogloss	isogloss#序10000
isogonal	isogonal#序10000
isogonic	isogonic#序10000
isograft	isograft#序10000
isograph	isograph#序10000
isolable	isolable#序10000
isolated	isolated#序10000
isolator	isolator#序10000
isolette	isolette#序10000
isologue	isologue#序10000
isomeric	isomeric#序10000
isometry	isometry#序10000
isopathy	isopathy#序10000
isophene	isophene#序10000
isophone	isophone#序10000
isoprene	isoprene#序10000
isopulse	isopulse#序10000
isoscope	isoscope#序10000
isospore	isospore#序10000
isospory	isospory#序10000
isostasy	isostasy#序10000
isothere	isothere#序10000
isotherm	isotherm#序10000
isotonic	isotonic#序10000
isotopes	isotopes#序10000
issuable	issuable#序10000
issuance	issuance#序10000
istanbul	istanbul#序10000
isthmian	isthmian#序10000
italiote	italiote#序10000
iterance	iterance#序10000
ithuriel	ithuriel#序10000
ixionian	ixionian#序10000
izvestia	izvestia#序10000
jabalpur	jabalpur#序10000
jacinthe	jacinthe#序10000
jackaroo	jackaroo#序10000
jackboot	jackboot#序10000
jackeroo	jackeroo#序10000
jackfish	jackfish#序10000
jackstay	jackstay#序10000
jacobean	jacobean#序10000
jacobian	jacobian#序10000
jacobite	jacobite#序10000
jacquard	jacquard#序10000
jactance	jactance#序10000
jactancy	jactancy#序10000
jaculate	jaculate#序10000
jadishly	jadishly#序10000
jailbait	jailbait#序10000
jailbird	jailbird#序10000
jalousie	jalousie#序10000
jamaican	jamaican#序10000
jamboree	jamboree#序10000
jamesian	jamesian#序10000
janiceps	janiceps#序10000
janizary	janizary#序10000
japanese	japanese#序10000
japanism	japanism#序10000
japanize	japanize#序10000
japanner	japanner#序10000
japonica	japonica#序10000
japonism	japonism#序10000
jaredite	jaredite#序10000
jargonel	jargonel#序10000
jarosite	jarosite#序10000
jarovize	jarovize#序10000
jaundice	jaundice#序10000
jauntily	jauntily#序10000
javanese	javanese#序10000
javelina	javelina#序10000
jazzetry	jazzetry#序10000
jdisplay	jdisplay#序10000
jealousy	jealousy#序10000
jeanette	jeanette#序10000
jedediah	jedediah#序10000
jeepable	jeepable#序10000
jeepload	jeepload#序10000
jehangir	jehangir#序10000
jehovist	jehovist#序10000
jejunely	jejunely#序10000
jennings	jennings#序10000
jeopardy	jeopardy#序10000
jephthah	jephthah#序10000
jeremiad	jeremiad#序10000
jeremiah	jeremiah#序10000
jeremias	jeremias#序10000
jeroboam	jeroboam#序10000
jerrican	jerrican#序10000
jerrycan	jerrycan#序10000
jessamin	jessamin#序10000
jestbook	jestbook#序10000
jesuitic	jesuitic#序10000
jesuitry	jesuitry#序10000
jetabout	jetabout#序10000
jetborne	jetborne#序10000
jetliner	jetliner#序10000
jettison	jettison#序10000
jeunesse	jeunesse#序10000
jeweller	jeweller#序10000
jiggered	jiggered#序10000
jillaroo	jillaroo#序10000
jimpness	jimpness#序10000
jingbang	jingbang#序10000
jinggang	jinggang#序10000
jingling	jingling#序10000
jingoish	jingoish#序10000
jingoism	jingoism#序10000
jingoist	jingoist#序10000
jipijapa	jipijapa#序10000
jiujitsu	jiujitsu#序10000
jobation	jobation#序10000
jockette	jockette#序10000
jocosely	jocosely#序10000
jocosity	jocosity#序10000
jocundly	jocundly#序10000
jodhpurs	jodhpurs#序10000
johannes	johannes#序10000
johnboat	johnboat#序10000
johnston	johnston#序10000
jointing	jointing#序10000
jointure	jointure#序10000
jokebook	jokebook#序10000
jokester	jokester#序10000
jokiness	jokiness#序10000
jokingly	jokingly#序10000
jolthead	jolthead#序10000
jonesian	jonesian#序10000
jongleur	jongleur#序10000
jordanon	jordanon#序10000
jovially	jovially#序10000
joybells	joybells#序10000
joyfully	joyfully#序10000
joyhouse	joyhouse#序10000
joyously	joyously#序10000
joyrider	joyrider#序10000
joystick	joystick#序10000
juberous	juberous#序10000
jubilant	jubilant#序10000
jubilate	jubilate#序10000
jubilize	jubilize#序10000
judahite	judahite#序10000
judaical	judaical#序10000
judenrat	judenrat#序10000
judgment	judgment#序10000
judicial	judicial#序10000
jugglery	jugglery#序10000
juggling	juggling#序10000
jugoslav	jugoslav#序10000
jugulate	jugulate#序10000
julienne	julienne#序10000
jumboise	jumboise#序10000
junction	junction#序10000
juncture	juncture#序10000
jungfrau	jungfrau#序10000
junkyard	junkyard#序10000
jurancon	jurancon#序10000
jurassic	jurassic#序10000
juration	juration#序10000
juratory	juratory#序10000
juristic	juristic#序10000
justicer	justicer#序10000
juvenile	juvenile#序10000
kaapland	kaapland#序10000
kaapstad	kaapstad#序10000
kablooey	kablooey#序10000
kaboodle	kaboodle#序10000
kaffiyeh	kaffiyeh#序10000
kailyard	kailyard#序10000
kairouan	kairouan#序10000
kaiserin	kaiserin#序10000
kakemono	kakemono#序10000
kakinada	kakinada#序10000
kalahari	kalahari#序10000
kalendar	kalendar#序10000
kalevala	kalevala#序10000
kaleyard	kaleyard#序10000
kalifate	kalifate#序10000
kamaaina	kamaaina#序10000
kamacite	kamacite#序10000
kamaishi	kamaishi#序10000
kamikaze	kamikaze#序10000
kanagawa	kanagawa#序10000
kanarese	kanarese#序10000
kanazawa	kanazawa#序10000
kangaroo	kangaroo#序10000
kangting	kangting#序10000
kaoliang	kaoliang#序10000
karachai	karachai#序10000
karafuto	karafuto#序10000
karakule	karakule#序10000
karateka	karateka#序10000
karelian	karelian#序10000
karlsbad	karlsbad#序10000
karnaugh	karnaugh#序10000
karyotin	karyotin#序10000
kashmiri	kashmiri#序10000
kashruth	kashruth#序10000
kasolite	kasolite#序10000
katakana	katakana#序10000
katalase	katalase#序10000
katalyst	katalyst#序10000
katalyze	katalyze#序10000
katchina	katchina#序10000
kathleen	kathleen#序10000
katmandu	katmandu#序10000
kattegat	kattegat#序10000
katyusha	katyusha#序10000
kavakava	kavakava#序10000
kavaphis	kavaphis#序10000
kawasaki	kawasaki#序10000
kazachok	kazachok#序10000
kazatska	kazatska#序10000
kazatski	kazatski#序10000
kazatsky	kazatsky#序10000
keckling	keckling#序10000
kedgeree	kedgeree#序10000
kedjeree	kedjeree#序10000
keelboat	keelboat#序10000
keelhaul	keelhaul#序10000
keelless	keelless#序10000
keenness	keenness#序10000
keepsake	keepsake#序10000
keeshond	keeshond#序10000
keewatin	keewatin#序10000
keffiyeh	keffiyeh#序10000
kelantan	kelantan#序10000
kelotomy	kelotomy#序10000
kemalism	kemalism#序10000
kemalist	kemalist#序10000
kendoist	kendoist#序10000
kengtung	kengtung#序10000
kennebec	kennebec#序10000
kennelly	kennelly#序10000
kennetic	kennetic#序10000
kenotron	kenotron#序10000
kentucky	kentucky#序10000
kephalin	kephalin#序10000
keramics	keramics#序10000
keramist	keramist#序10000
keratode	keratode#序10000
keratoid	keratoid#序10000
keratoma	keratoma#序10000
keratose	keratose#序10000
kerbside	kerbside#序10000
kerchief	kerchief#序10000
kernelly	kernelly#序10000
kerosene	kerosene#序10000
kerplunk	kerplunk#序10000
keyboard	keyboard#序10000
keybugle	keybugle#序10000
keylight	keylight#序10000
keynoter	keynoter#序10000
keynotes	keynotes#序10000
keyphone	keyphone#序10000
keypunch	keypunch#序10000
keystoke	keystoke#序10000
keystone	keystone#序10000
keywords	keywords#序10000
khalifat	khalifat#序10000
khalkhas	khalkhas#序10000
khnorian	khnorian#序10000
khuskhus	khuskhus#序10000
kiamusze	kiamusze#序10000
kibitzer	kibitzer#序10000
kickapoo	kickapoo#序10000
kickback	kickback#序10000
kickball	kickball#序10000
kickdown	kickdown#序10000
kickshaw	kickshaw#序10000
kickster	kickster#序10000
kidnapee	kidnapee#序10000
kidnaper	kidnaper#序10000
kidology	kidology#序10000
kielbasa	kielbasa#序10000
killdeer	killdeer#序10000
killfile	killfile#序10000
killtime	killtime#序10000
kilobaud	kilobaud#序10000
kilodyne	kilodyne#序10000
kilogram	kilogram#序10000
kilomega	kilomega#序10000
kilovolt	kilovolt#序10000
kilowatt	kilowatt#序10000
kimbundu	kimbundu#序10000
kimchaek	kimchaek#序10000
kinabalu	kinabalu#序10000
kindless	kindless#序10000
kindling	kindling#序10000
kindness	kindness#序10000
kinesics	kinesics#序10000
kinetics	kinetics#序10000
kinfolks	kinfolks#序10000
kingbird	kingbird#序10000
kingbolt	kingbolt#序10000
kingfish	kingfish#序10000
kinghood	kinghood#序10000
kinglake	kinglake#序10000
kingless	kingless#序10000
kinglike	kinglike#序10000
kingship	kingship#序10000
kingside	kingside#序10000
kingsoft	kingsoft#序10000
kingwana	kingwana#序10000
kingwood	kingwood#序10000
kinkajou	kinkajou#序10000
kinneret	kinneret#序10000
kinsfolk	kinsfolk#序10000
kinshasa	kinshasa#序10000
kirgizia	kirgizia#序10000
kiribati	kiribati#序10000
kirigami	kirigami#序10000
kishinev	kishinev#序10000
kissable	kissable#序10000
kissably	kissably#序10000
kistvaen	kistvaen#序10000
kiwanian	kiwanian#序10000
klansman	klansman#序10000
klondike	klondike#序10000
klystron	klystron#序10000
knackery	knackery#序10000
knapsack	knapsack#序10000
knapweed	knapweed#序10000
kneebend	kneebend#序10000
kneeboss	kneeboss#序10000
kneehole	kneehole#序10000
kneeroom	kneeroom#序10000
knickers	knickers#序10000
knightly	knightly#序10000
knitting	knitting#序10000
knitwear	knitwear#序10000
knitwork	knitwork#序10000
knobcone	knobcone#序10000
knocking	knocking#序10000
knockout	knockout#序10000
knothole	knothole#序10000
knotless	knotless#序10000
knottily	knottily#序10000
knotting	knotting#序10000
knotweed	knotweed#序10000
knotwork	knotwork#序10000
knowable	knowable#序10000
knuckler	knuckler#序10000
koestler	koestler#序10000
kohinoor	kohinoor#序10000
kohlrabi	kohlrabi#序10000
kohoutek	kohoutek#序10000
kolinsky	kolinsky#序10000
komondor	komondor#序10000
komsomol	komsomol#序10000
konstanz	konstanz#序10000
kootenai	kootenai#序10000
kootenay	kootenay#序10000
kopfring	kopfring#序10000
kordofan	kordofan#序10000
korfball	korfball#序10000
kornberg	kornberg#序10000
koromiko	koromiko#序10000
koroseal	koroseal#序10000
kotabaru	kotabaru#序10000
kotwalee	kotwalee#序10000
kourbash	kourbash#序10000
krakatau	krakatau#序10000
krakatoa	krakatoa#序10000
krameria	krameria#序10000
kreisler	kreisler#序10000
kreosote	kreosote#序10000
kreplach	kreplach#序10000
kreutzer	kreutzer#序10000
kromesky	kromesky#序10000
krumhorn	krumhorn#序10000
kulakism	kulakism#序10000
kumamoto	kumamoto#序10000
kumbaloi	kumbaloi#序10000
kunashir	kunashir#序10000
kuromaku	kuromaku#序10000
kuroshio	kuroshio#序10000
kurtosis	kurtosis#序10000
kushitic	kushitic#序10000
kutaraja	kutaraja#序10000
kuznetsk	kuznetsk#序10000
kwakiutl	kwakiutl#序10000
kweichow	kweichow#序10000
kweiyang	kweiyang#序10000
kymogram	kymogram#序10000
kynewulf	kynewulf#序10000
kyphosis	kyphosis#序10000
labdanum	labdanum#序10000
labelled	labelled#序10000
labellum	labellum#序10000
labilise	labilise#序10000
lability	lability#序10000
labilize	labilize#序10000
laborage	laborage#序10000
laboring	laboring#序10000
laborism	laborism#序10000
laborist	laborist#序10000
laborite	laborite#序10000
laboured	laboured#序10000
labourer	labourer#序10000
laburnum	laburnum#序10000
laceless	laceless#序10000
lacelike	lacelike#序10000
lacerant	lacerant#序10000
lacerate	lacerate#序10000
lacewing	lacewing#序10000
lacework	lacework#序10000
lachesis	lachesis#序10000
laciness	laciness#序10000
lackaday	lackaday#序10000
lackalnd	lackalnd#序10000
laconian	laconian#序10000
laconism	laconism#序10000
lacrimal	lacrimal#序10000
lacrosse	lacrosse#序10000
lacrymal	lacrymal#序10000
lacteous	lacteous#序10000
lactogen	lactogen#序10000
lactonic	lactonic#序10000
lacunary	lacunary#序10000
lacunate	lacunate#序10000
lacunose	lacunose#序10000
lacunule	lacunule#序10000
laddered	laddered#序10000
ladified	ladified#序10000
ladleful	ladleful#序10000
ladybird	ladybird#序10000
ladyfied	ladyfied#序10000
ladyhood	ladyhood#序10000
ladylike	ladylike#序10000
ladylove	ladylove#序10000
ladyship	ladyship#序10000
ladysnow	ladysnow#序10000
laevulin	laevulin#序10000
lagnappe	lagnappe#序10000
lagthing	lagthing#序10000
laingian	laingian#序10000
laitance	laitance#序10000
lakeland	lakeland#序10000
lakeport	lakeport#序10000
lakeside	lakeside#序10000
lakeward	lakeward#序10000
lallygag	lallygag#序10000
lamasery	lamasery#序10000
lamaster	lamaster#序10000
lambaste	lambaste#序10000
lambdoid	lambdoid#序10000
lambency	lambency#序10000
lambkill	lambkill#序10000
lamblike	lamblike#序10000
lambling	lambling#序10000
lambskin	lambskin#序10000
lambwool	lambwool#序10000
lamehter	lamehter#序10000
lamellar	lamellar#序10000
lameness	lameness#序10000
lamented	lamented#序10000
laminary	laminary#序10000
laminate	laminate#序10000
laminose	laminose#序10000
lamister	lamister#序10000
lampless	lampless#序10000
lamppost	lamppost#序10000
lampwick	lampwick#序10000
lampyrid	lampyrid#序10000
lancelet	lancelet#序10000
lancelot	lancelot#序10000
lanceted	lanceted#序10000
landfall	landfall#序10000
landfast	landfast#序10000
landfill	landfill#序10000
landform	landform#序10000
landlady	landlady#序10000
landless	landless#序10000
landline	landline#序10000
landlord	landlord#序10000
landmark	landmark#序10000
landmass	landmass#序10000
landmine	landmine#序10000
landrace	landrace#序10000
landrail	landrail#序10000
landseer	landseer#序10000
landship	landship#序10000
landsick	landsick#序10000
landside	landside#序10000
landskip	landskip#序10000
landslip	landslip#序10000
landsmal	landsmal#序10000
landsman	landsman#序10000
landtied	landtied#序10000
landward	landward#序10000
landwehr	landwehr#序10000
landwind	landwind#序10000
landzone	landzone#序10000
langlauf	langlauf#序10000
langrage	langrage#序10000
langshan	langshan#序10000
langsyne	langsyne#序10000
language	language#序10000
languish	languish#序10000
lanneret	lanneret#序10000
lanoline	lanoline#序10000
lanthorn	lanthorn#序10000
lantsang	lantsang#序10000
laodicea	laodicea#序10000
laoighis	laoighis#序10000
laomedon	laomedon#序10000
lapactic	lapactic#序10000
lapboard	lapboard#序10000
lapicide	lapicide#序10000
lapidary	lapidary#序10000
lapidate	lapidate#序10000
lapidify	lapidify#序10000
lapillus	lapillus#序10000
lapsable	lapsable#序10000
lapsible	lapsible#序10000
lapstone	lapstone#序10000
lararium	lararium#序10000
larboard	larboard#序10000
larcener	larcener#序10000
lardtype	lardtype#序10000
largando	largando#序10000
largeish	largeish#序10000
largesse	largesse#序10000
larksome	larksome#序10000
larkspur	larkspur#序10000
larrigan	larrigan#序10000
larrikin	larrikin#序10000
laryngal	laryngal#序10000
larynges	larynges#序10000
laryngic	laryngic#序10000
lashings	lashings#序10000
lashless	lashless#序10000
lasthome	lasthome#序10000
lastname	lastname#序10000
lastness	lastness#序10000
latchkey	latchkey#序10000
lateness	lateness#序10000
laterite	laterite#序10000
laterize	laterize#序10000
latewood	latewood#序10000
latheman	latheman#序10000
lathwork	lathwork#序10000
latinate	latinate#序10000
latinian	latinian#序10000
latinise	latinise#序10000
latinism	latinism#序10000
latinist	latinist#序10000
latinity	latinity#序10000
latinize	latinize#序10000
latitude	latitude#序10000
lattakia	lattakia#序10000
latterly	latterly#序10000
latticed	latticed#序10000
laudable	laudable#序10000
laudably	laudably#序10000
laudanum	laudanum#序10000
laudator	laudator#序10000
laughing	laughing#序10000
laughter	laughter#序10000
laughton	laughton#序10000
launcher	launcher#序10000
laurasia	laurasia#序10000
laureate	laureate#序10000
laurence	laurence#序10000
lauretta	lauretta#序10000
laurette	laurette#序10000
lausanne	lausanne#序10000
lavalava	lavalava#序10000
lavalier	lavalier#序10000
lavation	lavation#序10000
lavatory	lavatory#序10000
lavement	lavement#序10000
lavender	lavender#序10000
laverock	laverock#序10000
lavishly	lavishly#序10000
lawcourt	lawcourt#序10000
lawfully	lawfully#序10000
lawgiver	lawgiver#序10000
lawmaker	lawmaker#序10000
lawyerly	lawyerly#序10000
laxation	laxation#序10000
laxative	laxative#序10000
layabout	layabout#序10000
layelder	layelder#序10000
layerage	layerage#序10000
layering	layering#序10000
laylight	laylight#序10000
layshaft	layshaft#序10000
laystall	laystall#序10000
laywoman	laywoman#序10000
lazarist	lazarist#序10000
laziness	laziness#序10000
lazuline	lazuline#序10000
lazulite	lazulite#序10000
lazurite	lazurite#序10000
lazyback	lazyback#序10000
lazyitis	lazyitis#序10000
leachate	leachate#序10000
leaching	leaching#序10000
leadless	leadless#序10000
leadsman	leadsman#序10000
leadwork	leadwork#序10000
leadwort	leadwort#序10000
leafless	leafless#序10000
leaflike	leaflike#序10000
leafworm	leafworm#序10000
leakance	leakance#序10000
leanness	leanness#序10000
leapfrog	leapfrog#序10000
learning	learning#序10000
leasable	leasable#序10000
leathern	leathern#序10000
leathery	leathery#序10000
leavings	leavings#序10000
lebanese	lebanese#序10000
lecithal	lecithal#序10000
lecithic	lecithic#序10000
lecithin	lecithin#序10000
lectrice	lectrice#序10000
lecturee	lecturee#序10000
lecturer	lecturer#序10000
lecythus	lecythus#序10000
leeangle	leeangle#序10000
leeboard	leeboard#序10000
leechdom	leechdom#序10000
leftlaid	leftlaid#序10000
leftmost	leftmost#序10000
leftover	leftover#序10000
leftward	leftward#序10000
legalese	legalese#序10000
legalise	legalise#序10000
legalism	legalism#序10000
legalist	legalist#序10000
legality	legality#序10000
legalize	legalize#序10000
legatary	legatary#序10000
legatine	legatine#序10000
legation	legation#序10000
legendry	legendry#序10000
legerity	legerity#序10000
legioned	legioned#序10000
legumina	legumina#序10000
leinster	leinster#序10000
leisured	leisured#序10000
lekythos	lekythos#序10000
lemonade	lemonade#序10000
lemonish	lemonish#序10000
lemuroid	lemuroid#序10000
lendable	lendable#序10000
lengthen	lengthen#序10000
lenience	lenience#序10000
leniency	leniency#序10000
leninism	leninism#序10000
leninist	leninist#序10000
leninite	leninite#序10000
lenition	lenition#序10000
lenitive	lenitive#序10000
lensless	lensless#序10000
lentando	lentando#序10000
lenticel	lenticel#序10000
lepidote	lepidote#序10000
leporide	leporide#序10000
leporine	leporine#序10000
leptonic	leptonic#序10000
lesgirls	lesgirls#序10000
lessened	lessened#序10000
lessness	lessness#序10000
lethargy	lethargy#序10000
lettered	lettered#序10000
letterer	letterer#序10000
lettrism	lettrism#序10000
leucemia	leucemia#序10000
leucosis	leucosis#序10000
leukemia	leukemia#序10000
leukemic	leukemic#序10000
leukosis	leukosis#序10000
levanter	levanter#序10000
leveling	leveling#序10000
leveller	leveller#序10000
levelman	levelman#序10000
levelpeg	levelpeg#序10000
leverage	leverage#序10000
leviable	leviable#序10000
levigate	levigate#序10000
levirate	levirate#序10000
levitate	levitate#序10000
levitron	levitron#序10000
levulose	levulose#序10000
lewdness	lewdness#序10000
lewdster	lewdster#序10000
lewisson	lewisson#序10000
lexigram	lexigram#序10000
liaoning	liaoning#序10000
libation	libation#序10000
libeccio	libeccio#序10000
libelant	libelant#序10000
libellee	libellee#序10000
libeller	libeller#序10000
libelous	libelous#序10000
liberate	liberate#序10000
liberian	liberian#序10000
libraire	libraire#序10000
libretto	libretto#序10000
licencee	licencee#序10000
licensed	licensed#序10000
licensee	licensee#序10000
licenser	licenser#序10000
licensor	licensor#序10000
lichened	lichened#序10000
lichenin	lichenin#序10000
lickspit	lickspit#序10000
licorice	licorice#序10000
liegeman	liegeman#序10000
lienable	lienable#序10000
lienitis	lienitis#序10000
lientery	lientery#序10000
lifeboat	lifeboat#序10000
lifeless	lifeless#序10000
lifelike	lifelike#序10000
lifeline	lifeline#序10000
lifelong	lifelong#序10000
lifesome	lifesome#序10000
lifespan	lifespan#序10000
lifetime	lifetime#序10000
lifeward	lifeward#序10000
lifework	lifework#序10000
liftback	liftback#序10000
liftgate	liftgate#序10000
ligament	ligament#序10000
ligation	ligation#序10000
ligature	ligature#序10000
ligeance	ligeance#序10000
lightful	lightful#序10000
lighting	lighting#序10000
lightish	lightish#序10000
lightpen	lightpen#序10000
ligneous	ligneous#序10000
lignitic	lignitic#序10000
ligulate	ligulate#序10000
ligurian	ligurian#序10000
likeable	likeable#序10000
likeness	likeness#序10000
likesome	likesome#序10000
likewise	likewise#序10000
lilliput	lilliput#序10000
lilongwe	lilongwe#序10000
lilylike	lilylike#序10000
limacine	limacine#序10000
limation	limation#序10000
limberly	limberly#序10000
limbless	limbless#序10000
limekiln	limekiln#序10000
limenian	limenian#序10000
limerick	limerick#序10000
limewash	limewash#序10000
limewood	limewood#序10000
limicole	limicole#序10000
liminary	liminary#序10000
limitary	limitary#序10000
limiting	limiting#序10000
limmasol	limmasol#序10000
limnaeid	limnaeid#序10000
limnetic	limnetic#序10000
limonene	limonene#序10000
limonite	limonite#序10000
limpidly	limpidly#序10000
limpness	limpness#序10000
limpwort	limpwort#序10000
limuloid	limuloid#序10000
linalool	linalool#序10000
linchpin	linchpin#序10000
lineable	lineable#序10000
lineally	lineally#序10000
linebred	linebred#序10000
lineside	lineside#序10000
linesman	linesman#序10000
linetype	linetype#序10000
lingayat	lingayat#序10000
lingayen	lingayen#序10000
lingerie	lingerie#序10000
linguate	linguate#序10000
linguine	linguine#序10000
linguini	linguini#序10000
linguist	linguist#序10000
liniment	liniment#序10000
linksman	linksman#序10000
linkwork	linkwork#序10000
linofilm	linofilm#序10000
linoleum	linoleum#序10000
linotype	linotype#序10000
linstock	linstock#序10000
lionhood	lionhood#序10000
lionlike	lionlike#序10000
lionmask	lionmask#序10000
lionship	lionship#序10000
lipbrush	lipbrush#序10000
lipizzan	lipizzan#序10000
lipocyte	lipocyte#序10000
lipogram	lipogram#序10000
lipoidal	lipoidal#序10000
liposome	liposome#序10000
liprouge	liprouge#序10000
lipsalve	lipsalve#序10000
lipstick	lipstick#序10000
liquesce	liquesce#序10000
liquidly	liquidly#序10000
liquidus	liquidus#序10000
liripipe	liripipe#序10000
listable	listable#序10000
listener	listener#序10000
listless	listless#序10000
listserv	listserv#序10000
lisztian	lisztian#序10000
literacy	literacy#序10000
literary	literary#序10000
literate	literate#序10000
literati	literati#序10000
litharge	litharge#序10000
lithemia	lithemia#序10000
lithemic	lithemic#序10000
lithosol	lithosol#序10000
lithuria	lithuria#序10000
litigant	litigant#序10000
litigate	litigate#序10000
littlish	littlish#序10000
littoral	littoral#序10000
liturgic	liturgic#序10000
liveable	liveable#序10000
liveborn	liveborn#序10000
livelily	livelily#序10000
livelock	livelock#序10000
livelong	livelong#序10000
liveried	liveried#序10000
liverish	liverish#序10000
livetrap	livetrap#序10000
liveware	liveware#序10000
lividity	lividity#序10000
livingly	livingly#序10000
lixivial	lixivial#序10000
lixivium	lixivium#序10000
loadhigh	loadhigh#序10000
loadstar	loadstar#序10000
loaiasis	loaiasis#序10000
loamless	loamless#序10000
loanable	loanable#序10000
loanword	loanword#序10000
loathful	loathful#序10000
loathing	loathing#序10000
lobation	lobation#序10000
lobbyism	lobbyism#序10000
lobbyist	lobbyist#序10000
lobbyman	lobbyman#序10000
lobeline	lobeline#序10000
loblolly	loblolly#序10000
lobotomy	lobotomy#序10000
lobulate	lobulate#序10000
localise	localise#序10000
localism	localism#序10000
localite	localite#序10000
locality	locality#序10000
localize	localize#序10000
location	location#序10000
locative	locative#序10000
lockable	lockable#序10000
lockdown	lockdown#序10000
lockfast	lockfast#序10000
lockgate	lockgate#序10000
lockhole	lockhole#序10000
lockless	lockless#序10000
lockpick	lockpick#序10000
locksman	locksman#序10000
lockstep	lockstep#序10000
locofoco	locofoco#序10000
locomote	locomote#序10000
locoweed	locoweed#序10000
loculate	loculate#序10000
loculose	loculose#序10000
locution	locution#序10000
locutory	locutory#序10000
lodestar	lodestar#序10000
lodgment	lodgment#序10000
