一万	yiwj
按揭	anjp
按摩	anmo
按日	anri
按月	anyt
按期	anqi
按此	anci
按照	anvc
按着	anve
按说	anuo
按钮	annq
按铃	anlk
按错	anco
按键	anjm
挎包	kxbc
挑刺	tnci
挑剔	tnti
挑唆	tnso
挑嘴	tnzv
挑战	tnvj
挑拨	tnbo
挑明	tnmk
挑衅	tnxb
挑起	tnqi
挑选	tnxr
挑逗	tndz
挑错	tnco
挖出	waiu
挖坑	wakg
挖坟	waff
挖开	wakd
挖掘	wajt
挖洞	wads
挖煤	wamw
挖矿	wakl
挖空	waks
挖苦	waku
挖补	wabu
挖走	wazz
挚爱	viai
挞伐	tafa
挠头	nctz
挠痒	ncyh
挡住	dhvu
挡路	dhlu
挡道	dhdc
挣扎	vgva
挣脱	vgto
挣钱	vgqm
挤兑	jidv
挤压	jiya
挤奶	jind
挥动	hvds
挥发	hvfa
挥拳	hvqr
挥斥	hvii
挥毫	hvhc
挥泪	hvlw
挥洒	hvsa
挥舞	hvwu
挥霍	hvho
挨个	aige
挨打	aida
挨揍	aizz
挨着	aive
挨罚	aifa
挨近	aijb
挨饿	aiee
挨骂	aima
挪出	noiu
挪动	nods
挪威	noww
挪用	noys
挪移	noyi
挪窝	nowo
挫折	cove
挫败	cobd
振作	vfzo
振兴	vfxk
振奋	vfff
振幅	vffu
振臂	vfbi
挺严	tkyj
挺久	tkjq
挺会	tkhv
挺俗	tksu
挺假	tkjx
挺傻	tkua
挺像	tkxl
挺准	tkvy
挺坏	tkhk
挺多	tkdo
挺大	tkda
挺好	tkhc
挺少	tkuc
挺差	tkia
挺强	tkql
挺忙	tkmh
挺快	tkkk
挺怪	tkgk
挺慢	tkmj
挺懒	tklj
挺拔	tkba
挺有	tkyz
挺松	tkss
挺棒	tkbh
挺烦	tkfj
挺熟	tkuu
挺爽	tkul
挺累	tklw
挺胸	tkxs
挺能	tkng
挺色	tkse
挺贵	tkgv
挺起	tkqi
挺身	tkuf
挺近	tkjb
挺远	tkyr
挺闲	tkxm
挺难	tknj
挺骚	tksc
挺高	tkgc
挽救	wjjq
挽歌	wjge
挽留	wjlq
挽着	wjve
挽联	wjlm
捅破	tspo
捆着	kyve
捆绑	kybh
捆缚	kyfu
捉到	vodc
捉奸	vojm
捉对	vodv
捉弄	vons
捉拿	vona
捉虫	vois
捉贼	vozw
捍卫	hjww
捎信	ucxb
捎去	ucqu
捎带	ucdd
捏住	npvu
捏合	nphe
捏成	npig
捏碎	npsv
捏造	npzc
捐助	jrvu
捐款	jrkr
捐物	jrwu
捐献	jrxm
捐赠	jrzg
捐钱	jrqm
捕捉	buvo
捕捞	bulc
捕杀	buua
捕猎	bulp
捕获	buho
捞钱	lcqm
损人	syrf
损伤	syuh
损友	syyz
损坏	syhk
损失	syui
损害	syhd
损毁	syhv
损益	syyi
损耗	syhc
捡回	jmhv
捡来	jmld
捡起	jmqi
换上	hruh
换下	hrxx
换个	hrge
换人	hrrf
换位	hrww
换取	hrqu
换回	hrhv
换岗	hrgh
换成	hrig
换挡	hrdh
换掉	hrdn
换来	hrld
换牙	hrya
换算	hrsr
换肤	hrfu
换脑	hrnc
换血	hrxt
换行	hrhh
换货	hrho
换车	hrie
换页	hrye
捣乱	dclr
捣毁	dchv
捣碎	dcsv
捣鬼	dcgv
捣鼓	dcgu
捧哏	pggf
捧场	pgih
捧杀	pgua
捧杯	pgbw
捧着	pgve
捧腹	pgfu
捧起	pgqi
据传	juir
据悉	juxi
据查	juia
据此	juci
据点	judm
据称	juig
据说	juuo
捶打	ivda
捶背	ivbw
捶腿	ivtv
掀开	xmkd
掀掉	xmdn
授予	uzyu
授权	uzqr
授课	uzke
掉下	dnxx
掉了	dnle
掉价	dnjx
掉在	dnzd
掉头	dntz
掉泪	dnlw
掉渣	dnva
掉牙	dnya
掉线	dnxm
掉色	dnse
掉落	dnlo
掉转	dnvr
掉进	dnjb
掉队	dndv
掌上	vhuh
掌中	vhvs
掌勺	vhuc
掌声	vhug
掌心	vhxb
掌控	vhks
掌握	vhwo
掌故	vhgu
掌权	vhqr
掌柜	vhgv
掌灯	vhdg
掌管	vhgr
掌舵	vhdo
掌门	vhmf
掏出	tciu
掏心	tcxb
掏摸	tcmo
掏空	tcks
掏钱	tcqm
掐住	qxvu
掐掉	qxdn
掐断	qxdr
掐算	qxsr
排他	pdta
排位	pdww
排入	pdru
排列	pdlp
排卵	pdlr
排名	pdmk
排在	pdzd
排场	pdih
排外	pdwd
排定	pddk
排尿	pdnn
排序	pdxu
排挤	pdji
排放	pdfh
排斥	pdii
排查	pdia
排毒	pddu
排比	pdbi
排气	pdqi
排水	pduv
排污	pdwu
排泄	pdxp
排演	pdyj
排版	pdbj
排球	pdqq
排着	pdve
排空	pdks
排练	pdlm
排行	pdhh
排解	pdjp
排量	pdll
排长	pdvh
排队	pddv
排除	pdiu
排险	pdxm
排雷	pdlw
排骨	pdgu
掘土	jttu
掘开	jtkd
掠夺	ltdo
掠影	ltyk
探亲	tjqb
探听	tjtk
探头	tjtz
探寻	tjxy
探幽	tjyz
探底	tjdi
探戈	tjge
探明	tjmk
探望	tjwh
探查	tjia
探测	tjce
探病	tjbk
探监	tjjm
探秘	tjmi
探究	tjjq
探索	tjso
探视	tjui
探讨	tjtc
探访	tjfh
探路	tjlu
探身	tjuf
探针	tjvf
探长	tjvh
探问	tjwf
探险	tjxm
探雷	tjlw
掣肘	ievz
接任	jprf
接受	jpuz
接听	jptk
接吻	jpwf
接壤	jprh
接好	jphc
接应	jpyk
接待	jpdd
接招	jpvc
接替	jpti
接洽	jpqx
接班	jpbj
接球	jpqq
接着	jpve
接站	jpvj
接管	jpgr
接纳	jpna
接触	jpiu
接诊	jpvf
接轨	jpgv
接近	jpjb
接连	jplm
接送	jpss
接通	jpts
接风	jpfg
控制	ksvi
控告	ksgc
控球	ksqq
控盘	kspj
控股	ksgu
控诉	kssu
推举	tvju
推人	tvrf
推介	tvjp
推倒	tvdc
推动	tvds
推卸	tvxp
推向	tvxl
推射	tvue
推崇	tvis
推广	tvgl
推开	tvkd
推手	tvuz
推拿	tvna
推挤	tvji
推掉	tvdn
推敲	tvqn
推断	tvdr
推测	tvce
推演	tvyj
推理	tvli
推着	tvve
推算	tvsr
推翻	tvfj
推脱	tvto
推荐	tvjm
推行	tvxk
推论	tvly
推说	tvuo
推诿	tvww
推车	tvie
推辞	tvci
推进	tvjb
推迟	tvii
推送	tvss
推选	tvxr
推销	tvxn
掩体	yjti
掩护	yjhu
掩盖	yjgd
掩藏	yjch
掩饰	yjui
措施	coui
措辞	coci
掳掠	lult
掺和	ijho
掺杂	ijza
掺水	ijuv
揉成	rzig
揉捏	rznp
揉揉	rzrz
揉搓	rzco
揉着	rzve
揉碎	rzsv
揉面	rzmm
描写	mnxp
描图	mntu
描摹	mnmo
描画	mnhx
描眉	mnmw
描绘	mnhv
描述	mnuu
提交	tijn
提价	tijx
提供	tigs
提倡	tiih
提兜	tidz
提出	tiiu
提到	tidc
提前	tiqm
提包	tibc
提升	tiug
提取	tiqu
提名	timk
提干	tigj
提成	tiig
提手	tiuz
提拉	tila
提拔	tiba
提提	titi
提携	tixp
提早	tizc
提案	tian
提款	tikr
提点	tidm
提炼	tilm
提琴	tiqb
提留	tilq
提着	tive
提示	tiui
提笔	tibi
提纯	tiiy
提纲	tigh
提要	tiyc
提议	tiyi
提货	tiho
提起	tiqi
提过	tigo
提速	tisu
提醒	tixk
提问	tiwf
提高	tigc
插上	iauh
插件	iajm
插入	iaru
插叙	iaxu
插口	iakz
插嘴	iazv
插图	iatu
插在	iazd
插头	iatz
插好	iahc
插孔	iaks
插座	iazo
插拔	iaba
插播	iabo
插曲	iaqu
插槽	iacc
插秧	iayh
插话	iahx
插足	iazu
插销	iaxn
插队	iadv
握住	wovu
握手	wouz
握拳	woqr
握着	wove
握紧	wojb
揣度	ikdo
揣摩	ikmo
揣测	ikce
揩油	kdyz
揪心	jqxb
揭发	jpfa
揭晓	jpxn
揭破	jppo
揭秘	jpmi
揭穿	jpir
揭露	jplu
援兵	yrbk
援军	yrjy
援助	yrvu
援救	yrjq
揽客	ljke
揽过	ljgo
搀扶	ijfu
搁浅	geqm
搁置	gevi
搂抱	lzbc
搂着	lzve
搅乱	jnlr
搅动	jnds
搅匀	jnyy
搅和	jnhe
搅扰	jnrc
搅拌	jnbj
搅浑	jnhy
搏斗	bodz
搏杀	boua
搓成	coig
搓手	couz
搓揉	corz
搓板	cobj
搓洗	coxi
搓澡	cozc
搔头	sctz
搜出	sziu
搜刮	szgx
搜到	szdc
搜寻	szxy
搜捕	szbu
搜救	szjq
搜查	szia
搜狐	szhu
搜狗	szgz
搜索	szso
搜缴	szjn
搜罗	szlo
搜身	szuf
搜集	szji
搞丢	gcdq
搞乱	gclr
搞到	gcdc
搞垮	gckx
搞好	gchc
搞定	gcdk
搞得	gcde
搞怪	gcgk
搞懂	gcds
搞成	gcig
搞死	gcsi
搞活	gcho
搞混	gchy
搞砸	gcza
搞脏	gczh
搞错	gcco
搪塞	thse
搪瓷	thci
搬兵	bjbk
搬出	bjiu
搬动	bjds
搬家	bjjx
搬开	bjkd
搬弄	bjns
搬用	bjys
搬移	bjyi
搬迁	bjqm
搬运	bjyy
搬进	bjjb
搭台	datd
搭建	dajm
搭救	dajq
搭档	dadh
搭理	dali
搭腔	daql
搭讪	dauj
搭载	dazd
搭配	dapw
携带	xpdd
携手	xpuz
摄像	uexl
摄入	ueru
摄录	uelu
摄影	ueyk
摄政	uevg
摆上	bduh
摆出	bdiu
摆动	bdds
摆在	bdzd
摆好	bdhc
摆布	bdbu
摆平	bdpk
摆开	bdkd
摆弄	bdns
摆摊	bdtj
摆放	bdfh
摆明	bdmk
摆正	bdvg
摆满	bdmj
摆着	bdve
摆脱	bdto
摆设	bdue
摆谱	bdpu
摆阔	bdko
摇动	ycds
摇匀	ycyy
摇头	yctz
摇摆	ycbd
摇摇	ycyc
摇晃	ychl
摇橹	yclu
摇滚	ycgy
摇篮	yclj
摇荡	ycdh
摈弃	bbqi
摊上	tjuh
摊主	tjvu
摊位	tjww
摊子	tjzi
摊平	tjpk
摊开	tjkd
摊点	tjdm
摊牌	tjpd
摊薄	tjbc
摊贩	tjfj
摒除	bkiu
摔下	ukxx
摔了	ukle
摔伤	ukuh
摔倒	ukdc
摔坏	ukhk
摔打	ukda
摔断	ukdr
摔死	uksi
摔破	ukpo
摔碎	uksv
摔跤	ukjn
摘下	vdxx
摘取	vdqu
摘帽	vdmc
摘引	vdyb
摘录	vdlu
摘抄	vdic
摘自	vdzi
摘要	vdyc
摘选	vdxr
摘除	vdiu
摧残	cvcj
摧毁	cvhv
摩天	motm
摩尔	moer
摩托	moto
摩擦	moca
摩根	mogf
摩登	modg
摩羯	mojp
摸准	movy
摸出	moiu
摸底	modi
摸排	mopd
摸清	moqk
摸着	move
摸索	moso
摸透	motz
撂下	lnxx
撂在	lnzd
撇下	ppxx
撇嘴	ppzv
撇开	ppkd
撑伞	igsj
撑住	igvu
撑开	igkd
撑杆	iggj
撑死	igsi
撑着	igve
撑破	igpo
撑腰	igyc
撑起	igqi
撒娇	sajn
撒尿	sann
撒开	sakd
撒手	sauz
撒旦	sadj
撒欢	sahr
撒气	saqi
撒泼	sapo
撒网	sawh
撒腿	satv
撒谎	sahl
撒野	saye
撕咬	siyc
撕开	sikd
撕扯	siie
撕毁	sihv
撕破	sipo
撕票	sipn
撕裂	silp
撞人	vlrf
撞倒	vldc
撞击	vlji
撞墙	vlql
撞开	vlkd
撞断	vldr
撞死	vlsi
撞破	vlpo
撞碎	vlsv
撞翻	vlfj
撞见	vljm
撞车	vlie
撞针	vlvf
撤下	iexx
撤了	iele
撤兵	iebk
撤军	iejy
撤回	iehv
撤换	iehr
撤离	ieli
撤职	ievi
撤走	iezz
撤退	ietv
撤销	iexn
撩人	lnrf
撩开	lnkd
撩拨	lnbo
撬开	qnkd
播出	boiu
播发	bofa
播报	bobc
播撒	bosa
播放	bofh
播映	boyk
播种	bovs
播送	boss
播音	boyb
撮合	cohe
撰写	vrxp
撰文	vrwf
撼动	hjds
擂台	lwtd
擅自	ujzi
擅长	ujih
操作	cczo
操刀	ccdc
操办	ccbj
操劳	cclc
操场	ccih
操守	ccuz
操心	ccxb
操持	ccii
操控	ccks
操盘	ccpj
操纵	cczs
操练	cclm
操蛋	ccdj
操起	ccqi
擒住	qbvu
擒拿	qbna
擒获	qbho
擦亮	call
擦伤	cauh
擦干	cagj
擦拭	caui
擦掉	cadn
擦擦	caca
擦汗	cahj
擦洗	caxi
擦痕	cahf
擦着	cave
擦破	capo
擦背	cabw
擦身	cauf
擦边	cabm
擦除	caiu
攀亲	pjqb
攀升	pjug
攀岩	pjyj
攀比	pjbi
攀登	pjdg
攀谈	pjtj
攀越	pjyt
攀附	pjfu
攀高	pjgc
攒钱	zjqm
攥着	zrve
攫取	jtqu
支付	vifu
支出	viiu
支取	viqu
支持	viii
支援	viyr
支撑	viig
支柱	vivu
支票	vipn
支行	vihh
支配	vipw
收买	uzmd
收件	uzjm
收入	uzru
收到	uzdc
收割	uzge
收取	uzqu
收受	uzuz
收口	uzkz
收听	uztk
收回	uzhv
收存	uzcy
收官	uzgr
收容	uzrs
收归	uzgv
收录	uzlu
收成	uzig
收押	uzya
收拢	uzls
收拾	uzui
收据	uzju
收摊	uztj
收效	uzxn
收敛	uzlm
收条	uztn
收款	uzkr
收留	uzlq
收益	uzyi
收盘	uzpj
收看	uzkj
收税	uzuv
收缩	uzso
收获	uzho
收藏	uzch
收货	uzho
收购	uzgz
收费	uzfw
收起	uzqi
收钱	uzqm
收银	uzyb
改下	gdxx
改为	gdww
改了	gdle
改写	gdxp
改判	gdpj
改制	gdvi
改动	gdds
改变	gdbm
改口	gdkz
改名	gdmk
改善	gduj
改回	gdhv
改天	gdtm
改嫁	gdjx
改建	gdjm
改成	gdig
改换	gdhr
改掉	gddn
改改	gdgd
改日	gdri
改期	gdqi
改正	gdvg
改版	gdbj
改用	gdys
改组	gdzu
改良	gdll
改行	gdhh
改装	gdvl
改观	gdgr
改过	gdgo
改进	gdjb
改造	gdzc
改道	gddc
改错	gdco
改革	gdge
攻克	gske
攻击	gsji
攻占	gsvj
攻取	gsqu
攻守	gsuz
攻打	gsda
攻略	gslt
攻防	gsfh
放上	fhuh
放下	fhxx
放了	fhle
放任	fhrf
放债	fhvd
放假	fhjx
放入	fhru
放养	fhyh
放出	fhiu
放到	fhdc
放哨	fhuc
放回	fhhv
放在	fhzd
放大	fhda
放好	fhhc
放学	fhxt
放宽	fhkr
放射	fhue
放屁	fhpi
放开	fhkd
放弃	fhqi
放心	fhxb
放慢	fhmj
放掉	fhdn
放映	fhyk
放权	fhqr
放松	fhss
放浪	fhlh
放火	fhho
放炮	fhpc
放牛	fhnq
放牧	fhmu
放生	fhug
放电	fhdm
放着	fhve
放纵	fhzs
放缓	fhhr
放肆	fhsi
放荡	fhdh
放行	fhxk
放走	fhzz
放过	fhgo
放进	fhjb
放量	fhll
放飞	fhfw
放马	fhma
政令	vglk
政务	vgwu
政协	vgxp
政坛	vgtj
政委	vgww
政审	vguf
政客	vgke
政府	vgfu
政权	vgqr
政治	vgvi
政策	vgce
政纲	vggh
故乡	guxl
故事	guui
故作	guzo
故去	guqu
故国	gugo
故土	gutu
故宫	gugs
故居	guju
故意	guyi
故此	guci
故障	guvh
效力	xnli
效劳	xnlc
效命	xnmk
效应	xnyk
效果	xngo
效法	xnfa
效率	xnlv
效用	xnys
效益	xnyi
效能	xnng
敌人	dirf
敌兵	dibk
敌军	dijy
敌后	dihz
敌对	didv
敌我	diwo
敌手	diuz
敏感	mbgj
敏捷	mbjp
敏锐	mbrv
救人	jqrf
救兵	jqbk
救出	jqiu
救助	jqvu
救命	jqmk
救国	jqgo
救护	jqhu
救援	jqyr
救救	jqjq
救星	jqxk
救治	jqvi
救济	jqji
救火	jqho
救灾	jqzd
救生	jqug
救赎	jquu
教主	jnvu
教书	jnuu
教会	jnhv
教养	jnyh
教务	jnwu
教员	jnyr
教唆	jnso
教堂	jnth
教学	jnxt
教官	jngr
教导	jndc
教师	jnui
教徒	jntu
教授	jnuz
教教	jnjn
教材	jncd
教条	jntn
教案	jnan
教派	jnpd
教皇	jnhl
教科	jnke
教程	jnig
教练	jnlm
教育	jnyu
教训	jnxy
教诲	jnhv
教课	jnke
教过	jngo
敛财	lmcd
敛钱	lmqm
敞亮	ihll
敞口	ihkz
敞开	ihkd
敞篷	ihpg
敢于	gjyu
敢做	gjzo
敢干	gjgj
敢打	gjda
敢说	gjuo
敢问	gjwf
散乱	sjlr
散了	sjle
散伙	sjho
散会	sjhv
散养	sjyh
散发	sjfa
散场	sjih
散开	sjkd
散心	sjxb
散户	sjhu
散打	sjda
散播	sjbo
散文	sjwf
散架	sjjx
散步	sjbu
散漫	sjmj
散热	sjre
散落	sjlo
散装	sjvl
敦促	dycu
敦厚	dyhz
敦煌	dyhl
敬业	jkye
敬仰	jkyh
敬佩	jkpw
敬意	jkyi
敬慕	jkmu
敬爱	jkai
敬畏	jkww
敬老	jklc
敬请	jkqk
敬酒	jkjq
数个	uuge
数倍	uubw
数值	uuvi
数列	uulp
数字	uuzi
数学	uuxt
数年	uunm
数据	uuju
数控	uuks
数日	uuri
数月	uuyt
数次	uuci
数百	uubd
数目	uumu
数码	uuma
数组	uuzu
数落	uulo
数量	uull
数额	uuee
敲击	qnji
敲响	qnxl
敲定	qndk
敲打	qnda
敲掉	qndn
敲破	qnpo
敲诈	qnva
敲钟	qnvs
敲锣	qnlo
敲门	qnmf
整个	vgge
整体	vgti
整修	vgxq
整句	vgju
整合	vghe
整块	vgkk
整垮	vgkx
整夜	vgye
整天	vgtm
整套	vgtc
整容	vgrs
整年	vgnm
整形	vgxk
整成	vgig
整改	vggd
整整	vgvg
整日	vgri
整晚	vgwj
整条	vgtn
整洁	vgjp
整点	vgdm
整理	vgli
整肃	vgsu
整蛊	vggu
整车	vgie
整顿	vgdy
整齐	vgqi
敷衍	fuyj
文书	wfuu
文人	wfrf
文件	wfjm
文具	wfju
文凭	wfpk
文化	wfhx
文员	wfyr
文坛	wftj
文墨	wfmo
文字	wfzi
文学	wfxt
文官	wfgr
文弱	wfro
文思	wfsi
文摘	wfvd
文明	wfmk
文本	wfbf
文案	wfan
文档	wfdh
文段	wfdr
文火	wfho
文物	wfwu
文献	wfxm
文盲	wfmh
文科	wfke
文秘	wfmi
文稿	wfgc
文章	wfvh
文笔	wfbi
文职	wfvi
文胸	wfxs
文艺	wfyi
文莱	wfld
文萃	wfcv
文辞	wfci
文选	wfxr
文采	wfcd
文雅	wfya
文集	wfji
文静	wfjk
文革	wfge
文风	wffg
斋戒	vdjp
斋饭	vdfj
斑斑	bjbj
斑斓	bjlj
斑点	bjdm
斑纹	bjwf
斑马	bjma
斑驳	bjbo
斑鸠	bjjq
斗争	dzvg
斗嘴	dzzv
斗志	dzvi
斗殴	dzou
斗气	dzqi
斗法	dzfa
斗牛	dznq
斗篷	dzpg
斗胆	dzdj
料到	lndc
料及	lnji
料子	lnzi
料定	lndk
料想	lnxl
料理	lnli
料酒	lnjq
斜体	xpti
斜射	xpue
斜杠	xpgh
斜率	xplv
斜眼	xpyj
斜纹	xpwf
斜线	xpxm
斜边	xpbm
斜阳	xpyh
斜面	xpmm
斟满	vfmj
斟酌	vfvo
斡旋	woxr
斥责	iize
斧头	futz
斩仓	vjch
斩断	vjdr
斩杀	vjua
斩首	vjuz
断了	drle
断交	drjn
断后	drhz
断奶	drnd
断定	drdk
断层	drcg
断开	drkd
断根	drgf
断案	dran
断档	drdh
断桥	drqn
断水	druv
断流	drlq
断然	drrj
断电	drdm
断粮	drll
断线	drxm
断绝	drjt
断网	drwh
断肠	drih
断臂	drbi
断裂	drlp
断言	dryj
断词	drci
断送	drss
断面	drmm
断魂	drhy
斯文	siwf
新书	xbuu
新作	xbzo
新兴	xbxk
新出	xbiu
新区	xbqu
新华	xbhx
新品	xbpb
新型	xbxk
新增	xbzg
新奇	xbqi
新娘	xbnl
新婚	xbhy
新宠	xbis
新居	xbju
新帖	xbtp
新年	xbnm
新店	xbdm
新建	xbjm
新房	xbfh
新手	xbuz
新招	xbvc
新政	xbvg
新旧	xbjq
新春	xbiy
新月	xbyt
新欢	xbhr
新款	xbkr
新派	xbpd
新浪	xblh
新潮	xbic
新版	xbbj
新疆	xbjl
新秀	xbxq
新编	xbbm
新股	xbgu
新药	xbyc
新著	xbvu
新装	xbvl
新词	xbci
新贵	xbgv
新车	xbie
新进	xbjb
新锐	xbrv
新闻	xbwf
新颖	xbyk
新高	xbgc
新鲜	xbxm
方丈	fhvh
方位	fhww
方便	fhbm
方可	fhke
方向	fhxl
方圆	fhyr
方块	fhkk
方外	fhwd
方寸	fhcy
方式	fhui
方才	fhcd
方格	fhge
方框	fhkl
方案	fhan
方桌	fhvo
方正	fhvg
方步	fhbu
方法	fhfa
方略	fhlt
方的	fhde
方程	fhig
方糖	fhth
方能	fhng
方舟	fhvz
方言	fhyj
方针	fhvf
方队	fhdv
方面	fhmm
施主	uivu
施加	uijx
施展	uivj
施工	uigs
施法	uifa
施舍	uiue
施虐	uint
旁人	phrf
旁侧	phce
旁听	phtk
旁支	phvi
旁白	phbd
旁落	phlo
旁观	phgr
旁证	phvg
旁边	phbm
旁门	phmf
旅人	lvrf
旅客	lvke
旅居	lvju
旅店	lvdm
旅游	lvyz
旅社	lvue
旅程	lvig
旅行	lvxk
旅费	lvfw
旅途	lvtu
旅长	lvvh
旅顺	lvuy
旅馆	lvgr
旋律	xrlv
旋紧	xrjb
旋转	xrvr
旋钮	xrnq
旋风	xrfg
族人	zurf
族权	zuqr
族群	zuqy
族规	zugv
族谱	zupu
旖旎	yini
旗下	qixx
旗号	qihc
旗袍	qipc
无从	wucs
无偿	wuih
无关	wugr
无助	wuvu
无双	wuul
无可	wuke
无名	wumk
无声	wuug
无处	wuiu
无奈	wund
无妨	wufh
无害	wuhd
无形	wuxk
无心	wuxb
无忧	wuyz
无恙	wuyh
无情	wuqk
无意	wuyi
无愧	wukv
无我	wuwo
无所	wuso
无损	wusy
无措	wuco
无故	wugu
无效	wuxn
无敌	wudi
无数	wuuu
无暇	wuxx
无望	wuwh
无本	wubf
无权	wuqr
无极	wuji
无果	wugo
无毒	wudu
无法	wufa
无理	wuli
无用	wuys
无疑	wuyi
无痕	wuhf
无眠	wumm
无码	wuma
无碍	wuai
无神	wuuf
无私	wusi
无穷	wuqs
无端	wudr
无缘	wuyr
无缝	wufg
无缺	wuqt
无罪	wuzv
无耻	wuii
无聊	wuln
无能	wung
无虑	wulv
无视	wuui
无论	wuly
无证	wuvg
无话	wuhx
无语	wuyu
无误	wuwu
无谓	wuww
无货	wuho
无赖	wuld
无辜	wugu
无边	wubm
无邪	wuxp
无量	wull
无锡	wuxi
无限	wuxm
无需	wuxu
无非	wufw
既定	jidk
既无	jiwu
既有	jiyz
既然	jirj
既要	jiyc
日下	rixx
日久	rijq
日产	riij
日元	riyr
日光	rigl
日内	rinw
日冕	rimm
日出	riiu
日前	riqm
日剧	riju
日化	rihx
日历	rili
日后	rihz
日均	rijy
日夜	riye
日头	ritz
日子	rizi
日寇	rikz
日常	riih
日志	rivi
日报	ribc
日文	riwf
日日	riri
日晒	riud
日晷	rigv
日暮	rimu
日月	riyt
日期	riqi
日本	ribf
日杂	riza
日渐	rijm
日照	rivc
日班	ribj
日用	riys
日益	riyi
日程	riig
日线	rixm
日落	rilo
日记	riji
日语	riyu
日趋	riqu
日韩	rihj
日食	riui
旦夕	djxi
旦角	djjt
旧宅	jqvd
旧居	jqju
旧帖	jqtp
旧日	jqri
旧梦	jqmg
旧版	jqbj
旧貌	jqmc
旧账	jqvh
旨在	vizd
早上	zcuh
早了	zcle
早些	zcxp
早产	zcij
早先	zcxm
早前	zcqm
早在	zczd
早场	zcih
早婚	zchy
早安	zcan
早就	zcjq
早已	zcyi
早市	zcui
早年	zcnm
早恋	zclm
早报	zcbc
早操	zccc
早日	zcri
早早	zczc
早春	zciy
早晚	zcwj
早晨	zcif
早有	zcyz
早期	zcqi
早死	zcsi
早点	zcdm
早熟	zcuu
早班	zcbj
早盘	zcpj
早睡	zcuv
早知	zcvi
早秋	zcqq
早茶	zcia
早衰	zcuk
早退	zctv
早间	zcjm
早餐	zccj
早饭	zcfj
旭日	xuri
旮旯	gala
旱地	hjdi
旱季	hjji
旱灾	hjzd
旱獭	hjta
时代	uidd
时候	uihz
时光	uigl
时刻	uike
时尚	uiuh
时报	uibc
时日	uiri
时期	uiqi
时段	uidr
时空	uiks
时装	uivl
时许	uixu
时评	uipk
时辰	uiif
时速	uisu
时针	uivf
时髦	uimc
旷古	klgu
旷工	klgs
旷课	klke
旷达	klda
旷野	klye
旺盛	whug
昂扬	ahyh
昂贵	ahgv
昂起	ahqi
昂首	ahuz
昆仑	kyly
昆明	kymk
昆曲	kyqu
昆虫	kyis
明了	mkln
明亮	mkll
明儿	mker
明后	mkhz
明君	mkjy
明处	mkiu
明天	mktm
明媚	mkmw
明察	mkia
明年	mknm
明快	mkkk
明悟	mkwu
明文	mkwf
明断	mkdr
明日	mkri
明早	mkzc
明星	mkxk
明显	mkxm
明晚	mkwj
明智	mkvi
明暗	mkan
明月	mkyt
明朗	mklh
明朝	mkic
明清	mkqk
明澈	mkie
明火	mkho
明灯	mkdg
明珠	mkvu
明白	mkbd
明眸	mkmz
明矾	mkfj
明确	mkqt
明细	mkxi
明证	mkvg
明说	mkuo
明道	mkdc
明鉴	mkjm
明镜	mkjk
明面	mkmm
昏倒	hydc
昏厥	hyjt
昏君	hyjy
昏庸	hyys
昏暗	hyan
昏沉	hyif
昏眩	hyxr
昏睡	hyuv
昏聩	hykv
昏花	hyhx
昏迷	hymi
昏黄	hyhl
昏黑	hyhw
易用	yiys
昔日	xiri
星光	xkgl
星宿	xkxq
星座	xkzo
星斗	xkdz
星星	xkxk
星期	xkqi
星汉	xkhj
星河	xkhe
星火	xkho
星球	xkqq
星空	xkks
星系	xkxi
星级	xkji
星辰	xkif
映出	ykiu
映射	ykue
映衬	ykif
春光	iygl
春分	iyff
春卷	iyjr
春夏	iyxx
春天	iytm
春季	iyji
春宫	iygs
春寒	iyhj
春心	iyxb
春意	iyyi
春晓	iyxn
春晖	iyhv
春晚	iywj
春梦	iymg
春游	iyyz
春潮	iyic
春秋	iyqq
春笋	iysy
春耕	iygg
春联	iylm
春色	iyse
春花	iyhx
春药	iyyc
春蚕	iycj
春装	iyvl
春运	iyyy
春雨	iyyu
春雷	iylw
春风	iyfg
昨天	zotm
昨日	zori
昨晚	zowj
昭雪	vcxt
是吗	uima
是否	uifz
是非	uifw
昵称	niig
昼夜	vzye
显卡	xmka
显得	xmde
显摆	xmbd
显然	xmrj
显现	xmxm
显示	xmui
显著	xmvu
显贵	xmgv
显赫	xmhe
晃动	hlds
晃悠	hlyz
晃晃	hlhl
晃荡	hldh
晋升	jbug
晒图	udtu
晒干	udgj
晒晒	udud
晒黑	udhw
晓得	xnde
晕了	yyle
晕倒	yydc
晕死	yysi
晕眩	yyxr
晕船	yyir
晕车	yyie
晚上	wjuh
晚会	wjhv
晚婚	wjhy
晚安	wjan
晚宴	wjyj
晚年	wjnm
晚报	wjbc
晚春	wjiy
晚景	wjjk
晚期	wjqi
晚点	wjdm
晚熟	wjuu
晚秋	wjqq
晚育	wjyu
晚间	wjjm
晚霜	wjul
晚霞	wjxx
晚风	wjfg
晚餐	wjcj
晚饭	wjfj
晦气	hvqi
晨光	ifgl
晨报	ifbc
晨昏	ifhy
晨曦	ifxi
晨曲	ifqu
晨练	iflm
普及	puji
普查	puia
普法	pufa
普洱	puer
普照	puvc
普选	puxr
普通	puts
普遍	pubm
普陀	puto
